251, ليكن  $ p \geq 5$ عددا أوليا. أثبت أنه يوجد عدد صحيح وحيد $p^2 \geq k \geq 1$ يجعل المقدار  $k(k+1)(k+2) \cdots(k+p-3)-1$ يقبل القسمة على  $p^3$ .  ,3
252, أثبت أن المقدار $$ \left \lfloor \frac{(n-1) !}{n(n+1)}\right\rfloor $$  زوجي لكل عدد صحيح موجب تماما $n$. ,3
253, جد كل الدوال  $ f : \mathbb{N^*} \to \mathbb{N^*}$ التي تحقق الشرطين التاليين: أ. $ f \left( n! \right) = f \left(n \right) ! $ لكل عدد صحيح موجب تماما $n$، ب. يقسم المقدار $ m - n $ المقدار  $ f(m) - f(n) $ كلما كان $m$ و $n$ عددين صحيحين مختلفين موجبين تماما. ,3
235," حدد كل الأزواج  $(p, n)$  ، حيث $p$ عدد أولي و $n$ عدد صحیح موجب تماما يجعلان $p^n$  يقسم $7^{p^n} + 1$ . ",1
236, لتكن  $p_k > \cdots > p_2 > p_1 > 2$ أعدادا أولية تحقق $2p_1 > p_k$ و$a$ عدد صحيح موجب تماما أولي مع  $p_1 p_2 \cdots p_k$ . أثبت أنه يوجد عدد غير منته من الأعداد الصحيحة الموجبة $n$ تجعل $p_1 p_2 \cdots p_k$   يقسم  $n \cdot a^n + 1$ . ,1
237, لیکن $k$ عددا صحيحا موجبا. أثبت أن $3^{k+1}$  يقسم $2^{3^K} + 1$ .  ,1
238, ا. جد متتالية حسابية غير منتهية وغير ثابتة من الأعداد الصحيحة بحيث يستحيل كتابة أي حد من حدودها حاصل جمع مكعبين كاملين.  ب. جد متتالية حسابية غير منتهية وغير ثابتة من الأعداد الصحيحة بحيث يستحيل كتابة أي حد من حدودها حاصل جمع ثلاث مكتبات كاملة.  ,1
239, أثبت أنه لكل عدد صحيح زوجي موجب تماما $n$ ، يقسم المقدار  $n^2 - 1$  المقدار $2^{n!} -1$ .  . ,1
240, أثبت أنه لكل عدد صحيح موجب تماما $m$ يوجد عدد صحيح موجب تماما $n$ يقبل القسمة على $m$ وحاصل جمع أرقامه يساوي $m$. ,1
241,  ليكن $n > 1$  و$a$ عددين صحيحين. أثبت أن $n$ يقسم  $a^{\varphi(n)}\left(a^{\varphi(n)} - 1\right)$ . ,1
242, لیکن  $n \geq 3$  عددا صحيحا. أثبت أن المقدار  $n^{n^{n^n}} - n^{n^n}$ يقبل القسمة على $1989$.  ,2
243, جد كل الأعداد الصحيحة الموجبة تماما $n$ ، بحيث $n$ يقسم المقدار $1^n + 2^n + \cdots + (n - 1)^n$ . ,3
244," ما هو أصغر عدد صحيح موجب تماما $n$ بحيث توجد أعداد صحيحة $x_1, x_2, \ldots, x_n$ تحقق  $x_1^3 + x_2^3 + \cdots + x_n^3 = 2002^{2002}$ ؟  ",3
245," جد زوجا  $(a, b)$ من الأعداد الصحيحة الموجبة تماما يجعل المقدار  $ab(a + b)$ لا يقبل القسمة على $7$، والمقدار $(a + b)^7 - a^7 - b^7$ يقبل القسمة على $7^7$ . ",4
